Date,Hospitalizations,Adult ICU COVID-19 Patients,Suspected Patient Admitted - Last 24 Hours,Confirmed Patient Admitted - Last 24 Hours
11/30/20,"2,033",485,241,206
11/29/20,"1,956",457,256,233
11/28/20,"1,879",454,262,246
11/27/20,"1,826",450,198,178
11/26/20,"1,806",445,274,238
11/25/20,"1,788",456,268,209
11/24/20,"1,800",431,292,254
11/23/20,"1,724",412,222,210
11/22/20,"1,603",399,246,211
11/21/20,"1,573",406,271,238
11/20/20,"1,590",409,280,218
11/19/20,"1,573",417,286,228
11/18/20,"1,533",396,295,212
11/17/20,"1,512",382,353,224
11/16/20,"1,501",370,301,195
11/15/20,"1,423",360,254,167
11/14/20,"1,405",355,300,209
11/13/20,"1,419",347,323,187
11/12/20,"1,423",352,289,184
11/11/20,"1,267",323,332,170
11/10/20,"1,251",304,306,191
11/9/20,"1,230",325,288,178
11/8/20,"1,176",319,283,123
11/7/20,"1,138",315,327,153
11/6/20,"1,189",328,335,168
11/5/20,"1,165",315,311,170
11/4/20,"1,180",321,316,171
11/3/20,"1,185",324,330,159
11/2/20,"1,175",331,275,144
11/1/20,"1,140",343,221,118
10/31/20,"1,138",335,263,142
10/30/20,"1,176",349,276,155
10/29/20,"1,201",343,289,152
10/28/20,"1,179",339,278,153
10/27/20,"1,175",325,293,145
10/26/20,"1,211",329,231,131
10/25/20,"1,190",333,285,127
10/24/20,"1,155",328,240,186
10/23/20,"1,167",332,253,157
10/22/20,"1,181",325,279,150
10/21/20,"1,205",333,274,137
10/20/20,"1,202",331,310,172
10/19/20,"1,203",326,238,118
10/18/20,"1,158",311,265,145
10/17/20,"1,129",310,250,108
10/16/20,"1,134",313,290,150
10/15/20,"1,148",299,283,147
10/14/20,"1,131",294,298,131
10/13/20,"1,152",300,426,175
10/12/20,"1,129",304,331,130
10/11/20,"1,110",313,331,136
10/10/20,"1,045",289,372,162
10/9/20,"1,034",281,372,121
10/8/20,"1,055",301,382,142
10/7/20,"1,040",294,383,130
10/6/20,"1,023",289,388,137
10/5/20,998,289,336,128
10/4/20,973,274,301,115
10/3/20,903,266,386,121
10/2/20,914,272,339,138
10/1/20,921,278,322,111
9/30/20,939,297,365,133
9/29/20,946,297,353,142
9/28/20,941,286,288,117
9/27/20,905,275,285,99
9/26/20,909,270,386,122
9/25/20,909,272,353,118
9/24/20,897,281,309,98
9/23/20,902,279,302,121
9/22/20,912,281,373,119
9/21/20,888,270,284,101
9/20/20,886,276,308,96
9/19/20,889,292,334,110
9/18/20,883,295,360,112
9/17/20,902,283,388,115
9/16/20,894,286,370,110
9/15/20,918,297,369,112
9/14/20,906,296,334,100
9/13/20,894,289,296,103
9/12/20,818,268,359,105
9/11/20,889,286,405,98
9/10/20,938,292,350,121
9/9/20,928,290,371,110
9/8/20,910,294,362,110
9/7/20,918,287,340,91
9/6/20,901,280,337,81
9/5/20,916,278,395,116
9/4/20,948,281,379,114
9/3/20,955,281,421,122
9/2/20,969,285,446,144
9/1/20,952,280,395,126
8/31/20,968,270,366,87
8/30/20,925,239,342,113
8/29/20,930,259,432,123
8/28/20,964,265,353,134
8/27/20,980,278,399,136
8/26/20,965,272,380,126
8/25/20,985,276,406,133
8/24/20,986,271,364,108
8/23/20,946,277,376,111
8/22/20,897,268,416,111
8/21/20,991,279,378,142
8/20/20,"1,008",283,367,118
8/19/20,"1,012",280,372,135
8/18/20,996,306,402,112
8/17/20,"1,015",313,357,96
8/16/20,978,290,286,98
8/15/20,960,294,386,100
8/14/20,"1,019",318,374,102
8/13/20,"1,035",307,389,107
8/12/20,"1,044",312,434,113
8/11/20,"1,061",311,517,125
8/10/20,"1,104",327,339,80
8/9/20,"1,109",317,360,64
8/8/20,"1,109",315,412,117
8/7/20,"1,129",335,370,104
8/6/20,"1,122",339,401,123
8/5/20,"1,145",333,396,117
8/4/20,"1,146",347,439,134
8/3/20,"1,154",336,413,88
8/2/20,"1,056",318,343,86
8/1/20,"1,129",340,434,126
7/31/20,"1,133",350,399,114
7/30/20,"1,179",350,405,113
7/29/20,"1,202",345,468,136
7/28/20,"1,236",348,414,131
7/27/20,"1,197",350,312,108
7/26/20,"1,138",343,311,110
7/25/20,"1,139",339,345,146
7/24/20,"1,146",354,432,119
7/23/20,"1,236",374,399,134
7/22/20,"1,279",385,368,140
7/21/20,"1,277",374,366,138
7/20/20,"1,262",346,342,129
7/19/20,"1,170",346,277,102
7/18/20,"1,200",343,377,118
7/17/20,"1,244",383,371,143
7/16/20,"1,265",367,397,122
7/15/20,"1,219",375,455,139
7/14/20,"1,225",379,372,126
7/13/20,"1,192",366,322,107
7/12/20,"1,121",336,233,100
7/11/20,"1,149",335,350,117
7/10/20,"1,173",325,407,105
7/9/20,"1,127",331,478,122
7/8/20,"1,128",345,559,140
7/7/20,"1,079",324,512,124
7/6/20,"1,060",312,509,83
7/5/20,"1,057",318,303,97
7/4/20,"1,025",293,360,113
7/3/20,"1,015",307,437,116
7/2/20,"1,017",301,416,106
7/1/20,978,299,436,98
6/30/20,955,297,462,116
6/29/20,968,300,374,95
6/28/20,904,291,259,83
6/27/20,950,288,307,100
6/26/20,945,305,289,89
6/25/20,955,305,304,91
6/24/20,954,324,531,106
6/23/20,973,323,505,95
6/22/20,981,349,398,83
6/21/20,932,337,334,80
6/20/20,900,339,362,76
6/19/20,921,343,416,94
6/18/20,923,349,467,102
6/17/20,911,330,329,75
6/16/20,896,328,457,85
6/15/20,873,330,278,64
6/14/20,845,306,227,73
6/13/20,847,323,220,80
6/12/20,873,325,396,66
6/11/20,807,315,456,92
6/10/20,863,319,341,68
6/9/20,844,328,410,123
6/8/20,776,283,339,78
6/7/20,761,289,195,62
6/6/20,757,281,264,75
6/5/20,749,279,384,71
6/4/20,753,263,270,79
6/3/20,692,271,377,91
6/2/20,712,,,
6/1/20,746,,,
5/31/20,678,,,
5/30/20,673,,,
5/29/20,665,,,
5/28/20,707,,,
5/27/20,734,,,
5/26/20,729,,,
5/25/20,646,,,
5/24/20,651,,,
5/23/20,616,,,
5/22/20,617,,,
5/21/20,596,,,
5/20/20,606,,,
5/19/20,580,,,
5/18/20,610,,,
5/17/20,528,,,
5/16/20,509,,,
5/15/20,495,,,
5/14/20,511,,,
5/13/20,528,,,
5/12/20,547,,,
5/11/20,500,,,
5/10/20,485,,,
5/9/20,466,,,
5/8/20,538,,,
5/7/20,539,,,
5/6/20,550,,,
5/5/20,546,,,
5/4/20,564,,,
5/3/20,527,,,
5/2/20,504,,,
5/1/20,532,,,
4/30/20,579,,,
4/29/20,584,,,
4/28/20,581,,,
4/27/20,500,,,
4/26/20,496,,,
4/25/20,483,,,
4/24/20,494,,,
4/23/20,516,,,
4/22/20,521,,,
4/21/20,468,,,
4/20/20,456,,,
4/19/20,399,,,
4/18/20,493,,,
4/17/20,416,,,
4/16/20,460,,,
4/15/20,483,,,
4/14/20,460,,,
4/13/20,447,,,
4/12/20,343,,,
4/11/20,356,,,
4/10/20,362,,,
4/9/20,446,,,
4/8/20,420,,,
4/7/20,410,,,
4/6/20,375,,,